G,Date,Team,H/A,Opp,W/L,TM,OP,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA,W/L_Ratio,Opp_W/L_ratio,TeamsOdds,OppOdds
1,2013-10-29,IND,H,ORL,W,97,87,102.1,91.6,95.0,0.451,0.239,0.57,53.0,50.0,4.2,24.3,0.528,19.0,27.8,0.31,0.435,14.9,72.3,0.065,1.0,0.0,1.09,7.68
1,2013-10-29,LAC,A,LAL,L,103,116,102.6,115.6,100.4,0.277,0.253,0.553,43.5,65.9,11.0,6.3,0.542,14.7,22.7,0.157,0.527,15.3,62.5,0.194,0.0,1.0,1.18,5.07
1,2013-10-29,LAL,H,LAC,W,116,103,115.6,102.6,100.4,0.301,0.312,0.551,56.5,54.8,8.0,9.7,0.527,15.3,37.5,0.194,0.542,14.7,77.3,0.157,1.0,0.0,5.07,1.18
1,2013-10-29,ORL,A,IND,L,87,97,91.6,102.1,95.0,0.108,0.204,0.447,47.0,47.2,10.5,11.1,0.435,14.9,27.7,0.065,0.528,19.0,72.2,0.31,0.0,1.0,7.68,1.09
1,2013-10-29,MIA,H,CHI,W,107,95,110.2,97.9,97.1,0.403,0.278,0.631,49.4,70.3,10.3,12.3,0.59,17.5,14.3,0.306,0.464,16.2,76.1,0.217,1.0,0.0,1.46,2.8
1,2013-10-29,CHI,A,MIA,L,95,107,97.9,110.2,97.1,0.277,0.313,0.51,50.6,65.7,11.3,7.7,0.464,16.2,23.9,0.217,0.59,17.5,85.7,0.306,0.0,1.0,2.8,1.46
1,2013-10-30,UTA,H,OKC,L,98,101,98.8,101.9,99.2,0.38,0.278,0.531,49.4,69.4,6.1,8.1,0.494,19.3,22.2,0.253,0.444,12.0,77.3,0.358,0.0,1.0,3.27,1.37
1,2013-10-30,TOR,H,BOS,W,93,87,101.6,95.1,91.5,0.267,0.198,0.484,59.3,39.5,9.8,11.3,0.471,15.0,42.2,0.14,0.508,21.8,80.6,0.303,1.0,0.0,1.27,4.01
1,2013-10-30,CLE,H,BRK,W,98,94,106.2,101.8,92.3,0.405,0.179,0.495,56.5,60.0,7.6,5.2,0.446,10.0,36.4,0.274,0.457,13.9,78.0,0.232,1.0,0.0,2.38,1.62
1,2013-10-30,GSW,H,LAL,W,125,94,121.9,91.7,102.6,0.267,0.314,0.65,55.2,73.9,7.8,12.7,0.622,13.5,18.9,0.209,0.438,14.0,82.0,0.18,1.0,1.0,1.11,7.31
1,2013-10-30,DAL,H,ATL,W,118,109,117.2,108.3,100.7,0.312,0.312,0.674,56.0,70.5,7.0,3.8,0.643,18.6,20.0,0.247,0.539,15.7,87.5,0.355,1.0,0.0,1.43,2.95
1,2013-10-30,SAS,H,MEM,W,101,94,104.8,97.6,96.4,0.211,0.263,0.608,47.6,62.5,3.1,7.7,0.599,15.3,10.8,0.132,0.462,12.3,76.6,0.086,1.0,0.0,1.39,3.1
1,2013-10-30,DEN,A,SAC,L,88,90,95.1,97.3,92.5,0.215,0.19,0.509,50.0,55.9,3.2,18.3,0.462,17.2,21.1,0.19,0.457,13.3,75.0,0.198,0.0,1.0,2.18,1.73
1,2013-10-30,CHA,A,HOU,L,83,96,92.7,107.2,89.6,0.222,0.111,0.42,40.7,42.4,8.9,11.8,0.389,6.6,23.1,0.144,0.533,17.2,64.1,0.197,0.0,1.0,10.11,1.06
1,2013-10-30,BRK,A,CLE,L,94,98,101.8,106.2,92.3,0.293,0.293,0.508,43.5,72.7,8.7,11.6,0.457,13.9,22.0,0.232,0.446,10.0,63.6,0.274,0.0,1.0,1.62,2.38
1,2013-10-30,DET,H,WAS,W,113,102,119.7,108.0,94.4,0.423,0.308,0.611,53.7,61.5,6.4,7.5,0.558,16.3,32.4,0.333,0.5,14.8,71.1,0.308,1.0,0.0,1.73,2.17
1,2013-10-30,SAC,H,DEN,W,90,88,97.3,95.1,92.5,0.284,0.259,0.494,50.0,39.4,8.6,10.9,0.457,13.3,25.0,0.198,0.462,17.2,78.9,0.19,1.0,0.0,1.73,2.18
1,2013-10-30,HOU,H,CHA,W,96,83,107.2,92.7,89.6,0.316,0.329,0.555,59.3,47.2,4.5,7.5,0.533,17.2,35.9,0.197,0.389,6.6,76.9,0.144,1.0,0.0,1.06,10.11
1,2013-10-30,ATL,A,DAL,L,109,118,108.3,117.2,100.7,0.461,0.316,0.596,44.0,73.0,15.9,9.4,0.539,15.7,12.5,0.355,0.643,18.6,80.0,0.247,0.0,1.0,2.95,1.43
1,2013-10-30,WAS,A,DET,L,102,113,108.0,119.7,94.4,0.41,0.321,0.554,46.3,67.6,5.3,5.6,0.5,14.8,28.9,0.308,0.558,16.3,67.6,0.333,0.0,1.0,2.17,1.73
2,2013-10-30,IND,A,NOP,W,95,90,104.9,99.4,90.5,0.429,0.329,0.571,46.3,63.3,5.5,16.2,0.5,16.1,17.6,0.357,0.429,13.7,67.4,0.2,2.0,0.0,1.98,1.86
1,2013-10-30,PHO,H,POR,W,104,91,112.6,98.5,92.4,0.217,0.229,0.572,54.7,41.9,8.7,9.1,0.542,14.2,28.2,0.169,0.457,12.4,76.6,0.21,1.0,0.0,2.86,1.45
2,2013-10-30,LAL,A,GSW,L,94,125,91.7,121.9,102.6,0.236,0.202,0.478,44.8,54.3,4.9,6.8,0.438,14.0,18.0,0.18,0.622,13.5,81.1,0.209,1.0,1.0,7.31,1.11
1,2013-10-30,PHI,H,MIA,W,114,110,114.8,110.8,99.3,0.3,0.263,0.629,56.3,55.8,16.1,2.2,0.588,16.6,25.0,0.25,0.588,17.3,82.1,0.118,1.0,1.0,6.16,1.14
1,2013-10-30,MEM,A,SAS,L,94,101,97.6,104.8,96.4,0.161,0.161,0.472,52.4,61.5,6.2,5.4,0.462,12.3,23.4,0.086,0.599,15.3,89.2,0.132,0.0,1.0,3.1,1.39
2,2013-10-30,MIA,A,PHI,L,110,114,110.8,114.8,99.3,0.153,0.471,0.606,43.7,71.4,7.0,0.0,0.588,17.3,17.9,0.118,0.588,16.6,75.0,0.25,1.0,1.0,1.14,6.16
2,2013-10-30,ORL,A,MIN,L,115,120,104.3,108.8,99.9,0.18,0.27,0.533,52.4,44.7,6.3,8.0,0.52,14.3,28.6,0.11,0.46,10.9,74.1,0.28,0.0,1.0,5.99,1.15
1,2013-10-30,MIL,A,NYK,L,83,90,88.3,95.7,94.0,0.162,0.216,0.523,47.7,55.9,10.6,6.9,0.493,22.5,15.2,0.135,0.528,21.9,81.3,0.211,0.0,1.0,3.87,1.28
1,2013-10-30,MIN,H,ORL,W,120,115,108.8,104.3,99.9,0.34,0.25,0.522,47.6,64.3,6.3,4.1,0.46,10.9,25.9,0.28,0.52,14.3,71.4,0.11,1.0,0.0,1.15,5.99
1,2013-10-30,OKC,A,UTA,W,101,98,101.9,98.8,99.2,0.407,0.235,0.529,50.6,27.3,15.1,7.0,0.444,12.0,22.7,0.358,0.494,19.3,77.8,0.253,1.0,0.0,1.37,3.27
1,2013-10-30,NOP,H,IND,L,90,95,99.4,104.9,90.5,0.247,0.129,0.478,53.8,50.0,7.7,10.6,0.429,13.7,32.6,0.2,0.5,16.1,82.4,0.357,0.0,2.0,1.86,1.98
1,2013-10-30,POR,A,PHO,L,91,104,98.5,112.6,92.4,0.296,0.321,0.497,45.3,57.6,5.4,7.8,0.457,12.4,23.4,0.21,0.542,14.2,71.8,0.169,0.0,1.0,1.45,2.86
1,2013-10-30,BOS,A,TOR,L,87,93,95.1,101.6,91.5,0.439,0.197,0.552,40.7,46.9,10.9,10.1,0.508,21.8,19.4,0.303,0.471,15.0,57.8,0.14,0.0,1.0,4.01,1.27
1,2013-10-30,NYK,H,MIL,W,90,83,95.7,88.3,94.0,0.239,0.183,0.573,52.3,47.2,12.8,10.3,0.528,21.9,18.8,0.211,0.493,22.5,84.8,0.135,1.0,0.0,1.28,3.87
2,2013-10-31,NYK,A,CHI,L,81,82,91.3,92.5,88.7,0.163,0.279,0.439,46.7,64.5,13.5,13.3,0.413,14.0,27.1,0.116,0.428,17.6,69.0,0.224,1.0,1.0,3.91,1.28
2,2013-10-31,LAC,H,GSW,W,126,115,121.6,111.0,103.6,0.588,0.329,0.589,57.1,64.3,14.5,7.3,0.547,14.4,41.0,0.388,0.605,21.0,73.7,0.303,1.0,1.0,1.4,3.1
2,2013-10-31,CHI,H,NYK,W,82,81,92.5,91.3,88.7,0.25,0.211,0.486,53.3,64.5,5.6,4.8,0.428,17.6,31.0,0.224,0.413,14.0,72.9,0.116,1.0,1.0,1.28,3.91
2,2013-10-31,GSW,A,LAC,L,115,126,111.0,121.6,103.6,0.434,0.276,0.635,42.9,65.0,6.8,3.5,0.605,21.0,26.3,0.303,0.547,14.4,59.0,0.388,1.0,1.0,3.1,1.4
2,2013-11-01,PHO,H,UTA,W,87,84,96.1,92.8,90.5,0.289,0.265,0.465,46.5,48.4,11.0,14.7,0.41,14.6,34.0,0.229,0.394,17.1,57.7,0.2,2.0,0.0,1.63,2.38
2,2013-11-01,ATL,H,TOR,W,102,95,108.9,101.4,93.6,0.403,0.299,0.563,46.8,66.7,7.5,4.6,0.532,12.5,17.9,0.26,0.494,11.3,75.0,0.091,1.0,1.0,1.63,2.39
3,2013-11-01,MIA,A,BRK,L,100,101,107.5,108.6,93.0,0.537,0.209,0.604,42.9,75.0,10.8,3.8,0.53,15.3,10.8,0.433,0.544,17.4,78.8,0.397,0.5,1.0,1.57,2.5
2,2013-11-01,NOP,A,ORL,L,90,110,95.5,116.7,94.3,0.283,0.13,0.435,50.0,50.0,7.4,10.4,0.38,10.4,30.4,0.217,0.636,18.0,84.4,0.3,0.0,0.5,1.57,2.53
2,2013-11-01,WAS,H,PHI,L,102,109,97.6,104.3,104.5,0.181,0.277,0.503,50.0,56.1,13.4,8.5,0.484,14.3,28.8,0.117,0.543,15.9,77.5,0.074,0.0,2.0,1.21,4.75
3,2013-11-01,ORL,H,NOP,W,110,90,116.7,95.5,94.3,0.386,0.314,0.672,50.0,56.4,11.7,8.8,0.636,18.0,15.6,0.3,0.38,10.4,69.6,0.217,0.5,0.0,2.53,1.57
2,2013-11-01,MIL,A,BOS,W,105,98,119.3,111.3,88.0,0.405,0.179,0.531,44.1,51.4,11.4,11.7,0.452,6.6,33.3,0.345,0.474,15.5,57.1,0.342,1.0,0.0,2.13,1.74
2,2013-11-01,UTA,A,PHO,L,84,87,92.8,96.1,90.5,0.318,0.2,0.434,53.5,64.5,3.3,1.6,0.394,17.1,42.3,0.2,0.41,14.6,66.0,0.229,0.0,2.0,2.38,1.63
2,2013-11-01,PHI,A,WAS,W,109,102,104.3,97.6,104.5,0.149,0.245,0.544,50.0,54.2,7.7,8.8,0.543,15.9,22.5,0.074,0.484,14.3,71.2,0.117,2.0,0.0,4.75,1.21
2,2013-11-01,DAL,A,HOU,L,105,113,101.9,109.6,103.1,0.25,0.27,0.473,45.7,52.6,8.7,15.9,0.425,11.2,29.6,0.2,0.541,18.7,67.5,0.466,1.0,2.0,3.34,1.37
2,2013-11-01,BOS,H,MIL,L,98,105,111.3,119.3,88.0,0.5,0.211,0.528,55.9,38.2,5.7,10.1,0.474,15.5,42.9,0.342,0.452,6.6,66.7,0.345,0.0,1.0,1.74,2.13
2,2013-11-01,MEM,H,DET,W,111,108,109.3,106.3,92.0,0.39,0.234,0.615,48.1,62.5,12.8,5.9,0.558,18.1,18.8,0.325,0.511,16.0,68.1,0.191,1.0,1.0,1.29,3.81
2,2013-11-01,SAC,H,LAC,L,101,110,114.2,124.4,88.5,0.405,0.215,0.543,47.3,58.3,7.9,10.9,0.494,8.8,25.6,0.291,0.586,15.0,71.4,0.4,1.0,2.0,2.41,1.61
2,2013-11-01,DET,A,MEM,L,108,111,106.3,109.3,92.0,0.27,0.236,0.542,51.9,50.0,9.8,10.2,0.511,16.0,31.9,0.191,0.558,18.1,81.3,0.325,1.0,1.0,3.81,1.29
3,2013-11-01,LAL,H,SAS,L,85,91,88.9,95.2,95.6,0.293,0.329,0.459,47.9,73.3,4.2,9.6,0.415,11.5,17.4,0.207,0.431,10.7,76.0,0.106,0.5,2.0,3.95,1.28
2,2013-11-01,HOU,H,DAL,W,113,105,109.6,101.9,103.1,0.699,0.397,0.592,54.3,50.0,10.7,5.5,0.541,18.7,32.5,0.466,0.425,11.2,70.4,0.2,2.0,1.0,1.37,3.34
2,2013-11-01,CLE,A,CHA,L,84,90,87.9,94.1,95.6,0.262,0.214,0.448,53.2,43.8,9.4,1.6,0.405,15.4,25.6,0.19,0.473,14.6,86.1,0.288,1.0,1.0,1.61,2.42
2,2013-11-01,MIN,H,OKC,W,100,81,105.9,85.8,94.4,0.429,0.26,0.546,51.2,63.6,14.8,3.8,0.481,14.1,24.3,0.338,0.392,18.7,71.4,0.193,2.0,1.0,1.76,2.13
3,2013-11-01,LAC,A,SAC,W,110,101,124.4,114.2,88.5,0.486,0.343,0.647,52.7,74.3,4.5,8.1,0.586,15.0,28.6,0.4,0.494,8.8,74.4,0.291,2.0,1.0,1.61,2.41
2,2013-11-01,TOR,A,ATL,L,95,102,101.4,108.9,93.6,0.159,0.261,0.504,53.2,37.5,5.3,11.1,0.494,11.3,25.0,0.091,0.532,12.5,82.1,0.26,1.0,1.0,2.39,1.63
2,2013-11-01,DEN,H,POR,L,98,113,103.2,119.0,95.0,0.343,0.182,0.43,50.0,38.9,6.3,6.2,0.394,3.4,33.9,0.202,0.495,6.0,68.6,0.107,0.0,1.0,1.53,2.63
2,2013-11-01,OKC,A,MIN,L,81,100,85.8,105.9,94.4,0.229,0.373,0.443,48.8,55.2,5.3,10.5,0.392,18.7,28.6,0.193,0.481,14.1,75.7,0.338,1.0,2.0,2.13,1.76
2,2013-11-01,POR,A,DEN,W,113,98,119.0,103.2,95.0,0.146,0.214,0.516,50.0,56.8,3.2,6.2,0.495,6.0,31.4,0.107,0.394,3.4,66.1,0.202,1.0,0.0,2.63,1.53
2,2013-11-01,CHA,H,CLE,W,90,84,94.1,87.9,95.6,0.466,0.164,0.512,46.8,63.6,7.3,12.1,0.473,14.6,13.9,0.288,0.405,15.4,74.4,0.19,1.0,1.0,2.42,1.61
2,2013-11-01,SAS,A,LAL,W,91,85,95.2,88.9,95.6,0.149,0.223,0.454,52.1,52.6,7.3,0.0,0.431,10.7,24.0,0.106,0.415,11.5,82.6,0.207,2.0,0.5,1.28,3.95
2,2013-11-01,BRK,H,MIA,W,101,100,108.6,107.5,93.0,0.574,0.235,0.593,57.1,63.6,5.4,9.4,0.544,17.4,21.2,0.397,0.53,15.3,89.2,0.433,1.0,0.5,2.5,1.57
3,2013-11-02,CLE,A,IND,L,74,89,77.5,93.3,95.4,0.181,0.181,0.413,42.0,37.9,15.7,2.0,0.367,15.2,12.8,0.157,0.481,18.9,75.6,0.195,0.5,3.0,4.33,1.24
3,2013-11-02,HOU,A,UTA,W,104,93,115.7,103.5,89.9,0.522,0.328,0.631,50.6,47.1,6.7,11.9,0.575,17.9,27.3,0.403,0.444,13.9,67.4,0.259,3.0,0.0,1.38,3.21
3,2013-11-02,IND,H,CLE,W,89,74,93.3,77.5,95.4,0.26,0.364,0.519,58.0,75.0,6.3,8.8,0.481,18.9,24.4,0.195,0.367,15.2,87.2,0.157,3.0,0.5,1.24,4.33
3,2013-11-02,SAC,A,GSW,L,87,98,93.4,105.2,93.2,0.276,0.299,0.446,52.2,53.3,9.7,2.0,0.379,12.5,29.1,0.241,0.586,18.1,86.5,0.118,0.5,2.0,6.76,1.13
3,2013-11-02,CHI,A,PHI,L,104,107,106.2,109.2,98.0,0.204,0.151,0.513,56.7,66.7,8.2,7.8,0.468,15.1,37.0,0.183,0.552,13.8,77.3,0.14,0.5,3.0,1.22,4.65
3,2013-11-02,SAS,A,POR,L,105,115,109.9,120.4,95.5,0.085,0.128,0.538,47.3,51.1,6.3,3.3,0.532,11.0,27.3,0.053,0.605,15.2,76.7,0.21,2.0,2.0,1.76,2.13
3,2013-11-02,MEM,A,DAL,L,99,111,104.3,116.9,94.9,0.299,0.184,0.503,53.1,54.1,6.3,3.3,0.443,14.7,35.4,0.253,0.444,9.9,70.8,0.5,0.5,2.0,2.29,1.67
3,2013-11-02,CHA,A,NOP,L,84,105,90.3,112.9,93.0,0.45,0.263,0.438,48.8,43.3,8.6,6.5,0.394,11.9,28.6,0.263,0.54,16.3,77.1,0.32,0.5,0.5,4.32,1.24
3,2013-11-02,PHI,H,CHI,W,107,104,109.2,106.2,98.0,0.209,0.256,0.57,43.3,57.1,8.2,7.6,0.552,13.8,22.7,0.14,0.468,15.1,63.0,0.183,3.0,0.5,4.65,1.22
3,2013-11-02,MIL,H,TOR,L,90,97,94.7,102.1,95.0,0.214,0.202,0.49,38.8,67.6,7.4,9.1,0.476,12.4,12.5,0.119,0.442,15.2,64.0,0.359,0.5,2.0,2.0,1.84
3,2013-11-02,DAL,H,MEM,W,111,99,116.9,104.3,94.9,0.575,0.238,0.554,46.9,56.3,12.6,5.6,0.444,9.9,29.2,0.5,0.443,14.7,64.6,0.253,2.0,0.5,1.67,2.29
3,2013-11-02,UTA,H,HOU,L,93,104,103.5,115.7,89.9,0.333,0.272,0.501,49.4,35.3,10.0,13.3,0.444,13.9,32.6,0.259,0.575,17.9,72.7,0.403,0.0,3.0,3.21,1.38
3,2013-11-02,TOR,A,MIL,W,97,90,102.1,94.7,95.0,0.487,0.295,0.512,61.2,61.3,6.3,0.0,0.442,15.2,36.0,0.359,0.476,12.4,87.5,0.119,2.0,0.5,1.84,2.0
3,2013-11-02,POR,H,SAS,W,115,105,120.4,109.9,95.5,0.235,0.247,0.643,52.7,64.4,3.1,8.5,0.605,15.2,23.3,0.21,0.532,11.0,72.7,0.053,2.0,2.0,2.13,1.76
3,2013-11-02,GSW,H,SAC,W,98,87,105.2,93.4,93.2,0.158,0.355,0.603,47.8,71.8,8.6,11.5,0.586,18.1,13.5,0.118,0.379,12.5,70.9,0.241,2.0,0.5,1.13,6.76
